uniqueID,reportedTime,clearedTime,timeType,siteCode,cellName,count,cell,l_cellDown,l_siteDown
U2K1N:8551:56.3743149901931482,2021-08-21 09:14:51,2021-08-21 09:18:00,on,TH2U0229,TH2U0229A2,6,6,0,0
U2K1N:8551:56.3743150078428035,2021-08-21 09:14:51,2021-08-21 09:18:00,on,TH1U0229,TH1U0229C1,6,5,0,0
U2K1N:8551:56.3743149952284344,2021-08-21 09:14:51,2021-08-21 09:18:00,on,TH1U0229,TH1U0229C2,6,3,0,0
U2K1N:8551:56.3743149961096591,2021-08-21 09:14:51,2021-08-21 09:18:00,on,TH2U0229,TH2U0229A1,6,4,0,0
U2K1N:8551:56.3743149966380240,2021-08-21 09:14:51,2021-08-21 09:18:00,on,TH2U0229,TH2U0229B1,6,1,0,0
U2K1N:8551:56.3743150083696178,2021-08-21 09:14:51,2021-08-21 09:18:00,on,TH1U0229,TH1U0229A2,6,2,0,0
U2K1N:8551:56.3743149931131151,2021-08-21 09:14:51,2021-08-21 09:18:00,on,TH2U0229,TH2U0229B2,6,5,0,0
U2K1N:8551:56.3743149972041173,2021-08-21 09:14:51,2021-08-21 09:18:00,on,TH2U0229,TH2U0229C1,6,3,0,0
U2K1N:8551:56.3743149936918182,2021-08-21 09:14:51,2021-08-21 09:18:00,on,TH2U0229,TH2U0229C2,6,2,0,0
U2K1N:8551:56.3743150073053715,2021-08-21 09:14:51,2021-08-21 09:18:00,on,TH1U0229,TH1U0229B1,6,6,0,0
U2K1N:8551:56.3743149944773935,2021-08-21 09:14:51,2021-08-21 09:18:00,on,TH1U0229,TH1U0229B2,6,4,0,0
U2K1N:8551:56.3743149977351294,2021-08-21 09:14:51,2021-08-21 09:18:00,on,TH1U0229,TH1U0229A1,6,1,0,0
U2K1N:8551:56.3743149901931482,2021-08-21 09:18:00,,off,TH2U0229,TH2U0229A2,6,6,0,0
U2K1N:8551:56.3743149944773935,2021-08-21 09:18:00,,off,TH1U0229,TH1U0229B2,6,4,0,0
U2K1N:8551:56.3743149936918182,2021-08-21 09:18:00,,off,TH2U0229,TH2U0229C2,6,2,0,0
U2K1N:8551:56.3743149952284344,2021-08-21 09:18:00,,off,TH1U0229,TH1U0229C2,6,3,0,0
U2K1N:8551:56.3743149972041173,2021-08-21 09:18:00,,off,TH2U0229,TH2U0229C1,6,3,0,0
U2K1N:8551:56.3743149961096591,2021-08-21 09:18:00,,off,TH2U0229,TH2U0229A1,6,4,0,0
U2K1N:8551:56.3743150083696178,2021-08-21 09:18:00,,off,TH1U0229,TH1U0229A2,6,2,0,0
U2K1N:8551:56.3743150073053715,2021-08-21 09:18:00,,off,TH1U0229,TH1U0229B1,6,6,0,0
U2K1N:8551:56.3743149966380240,2021-08-21 09:18:00,,off,TH2U0229,TH2U0229B1,6,1,0,0
U2K1N:8551:56.3743149931131151,2021-08-21 09:18:00,,off,TH2U0229,TH2U0229B2,6,5,0,0
U2K1N:8551:56.3743150078428035,2021-08-21 09:18:00,,off,TH1U0229,TH1U0229C1,6,5,0,0
U2K1N:8551:56.3743149977351294,2021-08-21 09:18:00,,off,TH1U0229,TH1U0229A1,6,1,0,0
U2K1N:8551:56.3745243599579757,2021-08-21 09:49:46,2021-08-21 09:54:50,on,TH1U1007,TH1U1007A2,6,4,0,0
U2K1N:8551:56.3745243495187316,2021-08-21 09:49:46,2021-08-21 09:54:50,on,TH2U1007,TH2U1007A1,6,4,0,0
U2K1N:8551:56.3745243746400577,2021-08-21 09:49:46,2021-08-21 09:54:51,on,TH1U1007,TH1U1007C2,6,5,0,0
U2K1N:8551:56.3745243739787783,2021-08-21 09:49:46,2021-08-21 09:54:50,on,TH2U1007,TH2U1007B1,6,1,0,0
U2K1N:8551:56.3745243546831268,2021-08-21 09:49:46,2021-08-21 09:54:50,on,TH1U1007,TH1U1007C1,6,2,0,0
U2K1N:8551:56.3745243731949412,2021-08-21 09:49:46,2021-08-21 09:54:50,on,TH2U1007,TH2U1007C1,6,2,0,0
U2K1N:8551:56.3745243538105895,2021-08-21 09:49:46,2021-08-21 09:54:50,on,TH1U1007,TH1U1007B1,6,3,0,0
U2K1N:8551:56.3745243589811769,2021-08-21 09:49:46,2021-08-21 09:54:51,on,TH1U1007,TH1U1007B2,6,6,0,0
U2K1N:8551:56.3745243615801584,2021-08-21 09:49:47,2021-08-21 09:54:50,on,TH2U1007,TH2U1007A2,6,3,0,0
U2K1N:8551:56.3745243779081654,2021-08-21 09:49:47,2021-08-21 09:54:51,on,TH1U1007,TH1U1007A1,6,1,0,0
U2K1N:8551:56.3745243624632082,2021-08-21 09:49:47,2021-08-21 09:54:50,on,TH2U1007,TH2U1007B2,6,5,0,0
U2K1N:8551:56.3745243633232169,2021-08-21 09:49:47,2021-08-21 09:54:50,on,TH2U1007,TH2U1007C2,6,6,0,0
U2K1N:8551:56.3745243546831268,2021-08-21 09:54:50,,off,TH1U1007,TH1U1007C1,6,2,0,0
U2K1N:8551:56.3745243731949412,2021-08-21 09:54:50,,off,TH2U1007,TH2U1007C1,6,2,0,0
U2K1N:8551:56.3745243495187316,2021-08-21 09:54:50,,off,TH2U1007,TH2U1007A1,6,4,0,0
U2K1N:8551:56.3745243633232169,2021-08-21 09:54:50,,off,TH2U1007,TH2U1007C2,6,6,0,0
U2K1N:8551:56.3745243624632082,2021-08-21 09:54:50,,off,TH2U1007,TH2U1007B2,6,5,0,0
U2K1N:8551:56.3745243538105895,2021-08-21 09:54:50,,off,TH1U1007,TH1U1007B1,6,3,0,0
U2K1N:8551:56.3745243599579757,2021-08-21 09:54:50,,off,TH1U1007,TH1U1007A2,6,4,0,0
U2K1N:8551:56.3745243615801584,2021-08-21 09:54:50,,off,TH2U1007,TH2U1007A2,6,3,0,0
U2K1N:8551:56.3745243739787783,2021-08-21 09:54:50,,off,TH2U1007,TH2U1007B1,6,1,0,0
U2K1N:8551:56.3745243746400577,2021-08-21 09:54:51,,off,TH1U1007,TH1U1007C2,6,5,0,0
U2K1N:8551:56.3745243589811769,2021-08-21 09:54:51,,off,TH1U1007,TH1U1007B2,6,6,0,0
U2K1N:8551:56.3745243779081654,2021-08-21 09:54:51,,off,TH1U1007,TH1U1007A1,6,1,0,0
U2K2N:8551:56.3730373983298430,2021-08-21 10:18:43,,off,HN2U0344,HN2U0344C2,6,5,0,0
U2K2N:8551:56.3730373720633484,2021-08-21 10:18:43,,off,HN2U0344,HN2U0344B2,6,4,0,0
U2K2N:8551:56.3730373494952116,2021-08-21 10:18:43,,off,HN2U0344,HN2U0344A1,6,1,0,0
U2K2N:8551:56.3730373602081627,2021-08-21 10:18:43,,off,HN2U0344,HN2U0344C1,6,6,0,0
U2K2N:8551:56.3730373687627343,2021-08-21 10:18:43,,off,HN2U0344,HN2U0344B1,6,3,0,0
U2K2N:8551:56.3730373749176531,2021-08-21 10:18:43,,off,HN2U0344,HN2U0344A2,6,2,0,0
